team1,team2,winner,toss_winner,toss_decision,venue,date,season
Leicestershire,Derbyshire,Leicestershire,Derbyshire,field,Grace Road,2014-05-16,2014
Nottinghamshire,Lancashire,Nottinghamshire,Lancashire,field,Trent Bridge,2014-05-16,2014
Durham,Worcestershire,Durham,Worcestershire,field,Riverside Ground,2014-05-16,2014
Glamorgan,Hampshire,Glamorgan,Hampshire,field,The Rose Bowl,2014-05-16,2014
Yorkshire,Northamptonshire,Northamptonshire,Yorkshire,bat,Headingley,2014-05-16,2014
Middlesex,Essex,Essex,Essex,field,Lord's,2014-05-17,2014
Sussex,Middlesex,Sussex,Middlesex,field,Lord's,2014-05-17,2014
Lancashire,Worcestershire,Lancashire,Lancashire,bat,Old Trafford,2014-05-17,2014
Surrey,Somerset,Surrey,Somerset,field,The Cooper Associates County Ground,2014-05-18,2014
Leicestershire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2014-05-23,2014
Hampshire,Sussex,Hampshire,Hampshire,bat,County Ground,2014-05-23,2014
Lancashire,Derbyshire,Lancashire,Derbyshire,field,County Ground,2014-05-23,2014
Glamorgan,Essex,Essex,Essex,field,County Ground,2014-05-23,2014
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2014-05-23,2014
Worcestershire,Nottinghamshire,Worcestershire,Nottinghamshire,field,Trent Bridge,2014-05-23,2014
Kent,Somerset,Kent,Somerset,field,The Cooper Associates County Ground,2014-05-23,2014
Hampshire,Middlesex,Hampshire,Middlesex,field,Merchant Taylors' School Ground,2014-05-25,2014
Lancashire,Durham,Lancashire,Lancashire,bat,Riverside Ground,2014-05-29,2014
Essex,Hampshire,Hampshire,Hampshire,field,The Rose Bowl,2014-05-30,2014
Lancashire,Warwickshire,Lancashire,Lancashire,bat,Old Trafford,2014-05-30,2014
Derbyshire,Yorkshire,Yorkshire,Derbyshire,bat,Headingley,2014-05-30,2014
Northamptonshire,Worcestershire,Worcestershire,Northamptonshire,bat,"County Ground, New Road",2014-05-30,2014
Sussex,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2014-05-30,2014
Durham,Nottinghamshire,Durham,Nottinghamshire,field,Trent Bridge,2014-05-30,2014
Kent,Gloucestershire,Kent,Kent,bat,St Lawrence Ground,2014-05-30,2014
Middlesex,Surrey,Surrey,Surrey,field,Kennington Oval,2014-05-30,2014
Warwickshire,Leicestershire,Warwickshire,Leicestershire,field,Grace Road,2014-06-01,2014
Hampshire,Kent,Hampshire,Hampshire,bat,The Rose Bowl,2014-06-05,2014
Kent,Middlesex,Kent,Kent,bat,St Lawrence Ground,2014-06-06,2014
Derbyshire,Nottinghamshire,Nottinghamshire,Derbyshire,bat,County Ground,2014-06-06,2014
Gloucestershire,Sussex,Gloucestershire,Sussex,field,County Ground,2014-06-06,2014
Leicestershire,Worcestershire,Worcestershire,Leicestershire,bat,Grace Road,2014-06-06,2014
Lancashire,Yorkshire,Yorkshire,Lancashire,bat,Old Trafford,2014-06-06,2014
Glamorgan,Somerset,Glamorgan,Glamorgan,bat,The Cooper Associates County Ground,2014-06-06,2014
Surrey,Essex,Essex,Essex,field,Kennington Oval,2014-06-06,2014
Durham,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2014-06-07,2014
Gloucestershire,Glamorgan,,Gloucestershire,bat,County Ground,2014-06-08,2014
Kent,Essex,Essex,Kent,bat,St Lawrence Ground,2014-06-11,2014
Warwickshire,Nottinghamshire,Warwickshire,Warwickshire,bat,Trent Bridge,2014-06-13,2014
Somerset,Hampshire,Somerset,Hampshire,field,The Cooper Associates County Ground,2014-06-13,2014
Glamorgan,Kent,,Kent,field,Sophia Gardens,2014-06-13,2014
Sussex,Surrey,Surrey,Surrey,field,Kennington Oval,2014-06-13,2014
Lancashire,Leicestershire,Lancashire,Lancashire,bat,Old Trafford,2014-06-13,2014
Worcestershire,Derbyshire,Worcestershire,Derbyshire,field,County Ground,2014-06-13,2014
Gloucestershire,Essex,Essex,Essex,field,County Ground,2014-06-13,2014
Yorkshire,Northamptonshire,Yorkshire,Yorkshire,bat,County Ground,2014-06-13,2014
Somerset,Sussex,Somerset,Sussex,field,Arundel Castle Cricket Club Ground,2014-06-15,2014
Somerset,Middlesex,Middlesex,Somerset,bat,Kennington Oval,2014-06-18,2014
Northamptonshire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2014-06-19,2014
Nottinghamshire,Leicestershire,Nottinghamshire,Leicestershire,field,Grace Road,2014-06-19,2014
Surrey,Glamorgan,Surrey,Glamorgan,field,Sophia Gardens,2014-06-20,2014
Hampshire,Gloucestershire,Hampshire,Hampshire,bat,The Rose Bowl,2014-06-20,2014
Sussex,Kent,Sussex,Sussex,bat,St Lawrence Ground,2014-06-20,2014
Nottinghamshire,Derbyshire,Nottinghamshire,Derbyshire,field,Trent Bridge,2014-06-20,2014
Durham,Leicestershire,Leicestershire,Leicestershire,field,Riverside Ground,2014-06-20,2014
Middlesex,Essex,Essex,Essex,field,County Ground,2014-06-20,2014
Warwickshire,Worcestershire,Worcestershire,Worcestershire,field,"County Ground, New Road",2014-06-20,2014
Lancashire,Northamptonshire,Lancashire,Lancashire,bat,Old Trafford,2014-06-20,2014
Hampshire,Glamorgan,Hampshire,Glamorgan,field,Sophia Gardens,2014-06-25,2014
Gloucestershire,Middlesex,,Gloucestershire,bat,Lord's,2014-06-26,2014
Somerset,Essex,Essex,Essex,field,The Cooper Associates County Ground,2014-06-27,2014
Durham,Northamptonshire,,Durham,bat,County Ground,2014-06-27,2014
Hampshire,Surrey,Surrey,Surrey,field,Kennington Oval,2014-06-27,2014
Middlesex,Sussex,Sussex,Sussex,field,County Ground,2014-06-27,2014
Kent,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2014-06-27,2014
Warwickshire,Derbyshire,Derbyshire,Derbyshire,field,County Ground,2014-06-27,2014
Nottinghamshire,Yorkshire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2014-06-28,2014
Derbyshire,Durham,Durham,Durham,field,Riverside Ground,2014-06-29,2014
Yorkshire,Leicestershire,Yorkshire,Leicestershire,field,Headingley,2014-07-01,2014
Kent,Surrey,Surrey,Surrey,field,Kennington Oval,2014-07-02,2014
Durham,Yorkshire,Durham,Durham,bat,Headingley,2014-07-02,2014
Northamptonshire,Warwickshire,Northamptonshire,Warwickshire,field,County Ground,2014-07-03,2014
Middlesex,Glamorgan,Glamorgan,Middlesex,bat,Old Deer Park,2014-07-03,2014
Northamptonshire,Leicestershire,,Leicestershire,field,Grace Road,2014-07-04,2014
Surrey,Essex,Essex,Essex,field,County Ground,2014-07-04,2014
Hampshire,Kent,Hampshire,Kent,field,St Lawrence Ground,2014-07-04,2014
Gloucestershire,Sussex,Gloucestershire,Sussex,field,County Ground,2014-07-04,2014
Somerset,Hampshire,Somerset,Somerset,bat,The Rose Bowl,2014-07-06,2014
Lancashire,Worcestershire,Lancashire,Worcestershire,field,"County Ground, New Road",2014-07-06,2014
Derbyshire,Leicestershire,Leicestershire,Leicestershire,field,Queen's Park,2014-07-06,2014
Nottinghamshire,Warwickshire,Nottinghamshire,Warwickshire,field,Edgbaston,2014-07-08,2014
Middlesex,Hampshire,Middlesex,Hampshire,field,The Rose Bowl,2014-07-11,2014
Worcestershire,Warwickshire,Warwickshire,Warwickshire,field,Edgbaston,2014-07-11,2014
Yorkshire,Durham,Yorkshire,Durham,field,Riverside Ground,2014-07-11,2014
Lancashire,Leicestershire,Lancashire,Lancashire,bat,Grace Road,2014-07-11,2014
Derbyshire,Northamptonshire,Northamptonshire,Northamptonshire,field,County Ground,2014-07-11,2014
Somerset,Gloucestershire,Somerset,Gloucestershire,field,The Cooper Associates County Ground,2014-07-11,2014
Kent,Sussex,Kent,Sussex,field,County Ground,2014-07-11,2014
Glamorgan,Surrey,Glamorgan,Surrey,field,Kennington Oval,2014-07-11,2014
Essex,Kent,Essex,Kent,field,Castle Park Cricket Ground,2014-07-12,2014
Yorkshire,Derbyshire,Yorkshire,Derbyshire,field,Queen's Park,2014-07-13,2014
Glamorgan,Sussex,Sussex,Glamorgan,bat,County Ground,2014-07-15,2014
Somerset,Surrey,Surrey,Surrey,field,Kennington Oval,2014-07-16,2014
Yorkshire,Warwickshire,Warwickshire,Yorkshire,bat,Headingley,2014-07-18,2014
Glamorgan,Essex,Essex,Essex,field,Sophia Gardens,2014-07-18,2014
Hampshire,Sussex,Hampshire,Hampshire,bat,The Rose Bowl,2014-07-18,2014
Kent,Somerset,Kent,Kent,bat,St Lawrence Ground,2014-07-18,2014
Worcestershire,Northamptonshire,Worcestershire,Worcestershire,bat,County Ground,2014-07-18,2014
Lancashire,Derbyshire,Lancashire,Lancashire,bat,Old Trafford,2014-07-18,2014
Durham,Leicestershire,Leicestershire,Leicestershire,field,Grace Road,2014-07-18,2014
Surrey,Gloucestershire,Surrey,Gloucestershire,field,College Ground,2014-07-18,2014
Nottinghamshire,Leicestershire,Nottinghamshire,Nottinghamshire,bat,Trent Bridge,2014-07-20,2014
Essex,Gloucestershire,Gloucestershire,Gloucestershire,field,College Ground,2014-07-20,2014
Essex,Hampshire,Hampshire,Hampshire,field,County Ground,2014-07-22,2014
Nottinghamshire,Northamptonshire,Nottinghamshire,Nottinghamshire,bat,County Ground,2014-07-23,2014
Lancashire,Durham,Lancashire,Lancashire,bat,Old Trafford,2014-07-24,2014
Middlesex,Surrey,Surrey,Middlesex,bat,Lord's,2014-07-24,2014
Somerset,Middlesex,Somerset,Somerset,bat,The Cooper Associates County Ground,2014-07-25,2014
Gloucestershire,Glamorgan,Glamorgan,Glamorgan,field,Sophia Gardens,2014-07-25,2014
Worcestershire,Derbyshire,Worcestershire,Derbyshire,field,"County Ground, New Road",2014-07-25,2014
Yorkshire,Nottinghamshire,Nottinghamshire,Yorkshire,bat,Headingley,2014-07-25,2014
Warwickshire,Leicestershire,Warwickshire,Leicestershire,field,Edgbaston,2014-07-25,2014
Essex,Sussex,Sussex,Sussex,field,County Ground,2014-07-25,2014
Kent,Surrey,Kent,Kent,bat,St Lawrence Ground,2014-07-25,2014
Northamptonshire,Durham,Durham,Northamptonshire,bat,Riverside Ground,2014-07-25,2014
Lancashire,Glamorgan,Lancashire,Glamorgan,field,Old Trafford,2014-08-01,2014
Worcestershire,Surrey,Surrey,Surrey,field,Kennington Oval,2014-08-02,2014
Warwickshire,Essex,Warwickshire,Essex,field,County Ground,2014-08-02,2014
Nottinghamshire,Hampshire,Hampshire,Nottinghamshire,bat,Trent Bridge,2014-08-03,2014
Warwickshire,Lancashire,Warwickshire,Warwickshire,bat,Edgbaston,2014-08-23,2014
Lancashire,Hampshire,Lancashire,Hampshire,field,Edgbaston,2014-08-23,2014
Warwickshire,Surrey,Warwickshire,Surrey,field,Edgbaston,2014-08-23,2014
Derbyshire,Yorkshire,Yorkshire,Yorkshire,field,Headingley,2015-05-15,2015
Glamorgan,Surrey,Glamorgan,Surrey,field,Kennington Oval,2015-05-15,2015
Warwickshire,Nottinghamshire,Nottinghamshire,Nottinghamshire,field,Trent Bridge,2015-05-15,2015
Durham,Northamptonshire,Durham,Northamptonshire,field,Riverside Ground,2015-05-15,2015
Kent,Sussex,Kent,Kent,bat,St Lawrence Ground,2015-05-15,2015
Hampshire,Essex,Hampshire,Hampshire,bat,The Rose Bowl,2015-05-15,2015
Middlesex,Gloucestershire,Gloucestershire,Gloucestershire,field,County Ground,2015-05-15,2015
